Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10275655,1801D08F,true,Rx,0,8,00,8C,00,5E,03,00,00,47,
10277270,0000039D,false,Rx,0,5,19,50,01,28,00,00,00,00,
10277504,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10283385,00000523,false,Rx,0,6,02,09,00,04,7A,54,00,00,
10284380,00000524,false,Rx,0,6,03,09,00,00,00,04,00,00,
10287455,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10287644,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10292422,00000521,false,Rx,0,6,00,0A,00,00,02,76,00,00,
10297466,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10305371,00000522,false,Rx,0,6,01,09,00,04,7A,1E,00,00,
10307448,0000035D,false,Rx,0,8,02,00,88,08,00,00,20,F0,
10307679,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10307862,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10310802,00000100,false,Rx,0,8,01,00,00,00,3D,09,3F,12,
10311047,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
10312287,00000521,false,Rx,0,6,00,0B,00,00,02,73,00,00,
10317231,0000039D,false,Rx,0,5,1A,51,01,28,00,00,00,00,
10317471,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10327477,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10327718,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
10327963,0000003F,false,Rx,0,8,00,00,00,C0,00,C0,64,C0,
10328187,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
10328368,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10328615,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
10328859,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
10329082,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
10332364,00000521,false,Rx,0,6,00,0C,00,00,02,5B,00,00,
10337484,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10343350,00000523,false,Rx,0,6,02,0A,00,04,7A,4A,00,00,
10344379,00000524,false,Rx,0,6,03,0A,00,00,00,2B,00,00,
10347485,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10347673,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10352411,00000521,false,Rx,0,6,00,0D,00,00,02,6F,00,00,
10357255,0000039D,false,Rx,0,5,1B,52,01,28,00,00,00,00,
10357495,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10365357,00000522,false,Rx,0,6,01,0A,00,04,7A,38,00,00,
10367490,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10367678,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10371046,000003B4,false,Rx,0,8,00,FF,30,F0,B8,FF,00,00,
10372272,00000521,false,Rx,0,6,00,0E,00,00,02,6C,00,00,
10375643,1801D08F,true,Rx,0,8,00,8C,00,5E,03,00,00,47,
10377500,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10380189,00000351,false,Rx,0,8,20,0D,C8,00,DC,05,D3,0A,
10380429,00000355,false,Rx,0,8,27,00,64,00,86,01,00,00,
10380664,00000356,false,Rx,0,8,A5,72,FA,FF,E1,00,00,00,
10382546,0000035A,false,Rx,0,8,00,00,00,00,00,00,00,00,
10382780,0000035E,false,Rx,0,8,53,49,4D,50,20,42,4D,53,
10384534,00000370,false,Rx,0,8,53,49,4D,50,20,45,43,4F,
10386550,00000373,false,Rx,0,8,8E,0D,AA,0D,27,01,28,01,
10387498,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10387680,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10388576,00000379,false,Rx,0,8,D2,00,00,00,01,00,00,00,
10390580,00000372,false,Rx,0,8,0E,00,00,00,00,00,00,00,
10391066,00000272,false,Rx,0,8,6A,F8,71,11,FF,FF,FF,FF,
10392348,00000521,false,Rx,0,6,00,0F,00,00,02,5D,00,00,
10397264,0000039D,false,Rx,0,5,1C,53,01,28,00,00,00,00,
10397504,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10403350,00000523,false,Rx,0,6,02,0B,00,04,7A,50,00,00,
10404368,00000524,false,Rx,0,6,03,0B,00,00,00,25,00,00,
10407509,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10407686,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10410803,00000100,false,Rx,0,8,01,00,00,00,3D,09,3F,12,
10411058,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
10412383,00000521,false,Rx,0,6,00,00,00,00,02,79,00,00,
10417505,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10425334,00000522,false,Rx,0,6,01,0B,00,04,7A,2E,00,00,
10427508,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10427760,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
10427942,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10428196,000002FA,false,Rx,0,8,FD,FF,05,FF,FF,FF,FF,FF,
10428420,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
10428656,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
10428900,0000003F,false,Rx,0,8,00,00,00,00,00,00,64,65,
10429155,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
10429380,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
10429604,00000432,false,Rx,0,8,2C,E2,10,A3,4E,FF,02,FF,
10429859,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
10430105,0000051A,false,Rx,0,8,00,00,00,00,50,00,00,1A,
10430349,00000540,false,Rx,0,8,00,00,00,00,FD,3C,FF,40,
10432330,00000521,false,Rx,0,6,00,01,00,00,02,7D,00,00,
10437239,0000039D,false,Rx,0,5,1D,54,01,28,00,00,00,00,
10437532,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10447539,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10447718,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10452339,00000521,false,Rx,0,6,00,02,00,00,02,93,00,00,
10457541,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10463335,00000523,false,Rx,0,6,02,0C,00,04,7A,4C,00,00,
10464352,00000524,false,Rx,0,6,03,0C,FF,FF,FF,F2,00,00,
10467543,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10467722,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10472375,00000521,false,Rx,0,6,00,03,00,00,02,6F,00,00,
10475657,1801D08F,true,Rx,0,8,00,8C,00,5E,03,00,00,47,
10477251,0000039D,false,Rx,0,5,1E,55,01,28,00,00,00,00,
