Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
30647568,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30647820,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
30648064,0000003F,false,Rx,0,8,00,00,00,40,00,40,64,6B,
30648288,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
30648471,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30648705,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
30648960,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
30649183,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
30649387,00000521,false,Rx,0,6,00,0F,00,00,02,6C,00,00,
30657589,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30660174,00000523,false,Rx,0,6,02,0B,00,04,7A,3D,00,00,
30661201,00000524,false,Rx,0,6,03,0B,00,00,00,00,00,00,
30667590,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30667769,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30669211,00000521,false,Rx,0,6,00,00,00,00,02,58,00,00,
30675268,00000100,false,Rx,0,8,01,00,00,00,3D,09,75,12,
30675521,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
30677587,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30680810,0000039D,false,Rx,0,5,1D,54,01,28,00,00,00,00,
30682161,00000522,false,Rx,0,6,01,0B,00,04,7A,1C,00,00,
30687590,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30687779,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30689082,00000521,false,Rx,0,6,00,01,00,00,02,7C,00,00,
30697598,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30707605,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30707782,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30709160,00000521,false,Rx,0,6,00,02,00,00,02,6D,00,00,
30717605,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30720167,00000523,false,Rx,0,6,02,0C,00,04,7A,10,00,00,
30720839,0000039D,false,Rx,0,5,1E,55,01,28,00,00,00,00,
30721188,00000524,false,Rx,0,6,03,0C,00,00,00,10,00,00,
30727602,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30727790,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30729199,00000521,false,Rx,0,6,00,03,00,00,02,59,00,00,
30737609,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30737933,1801D08F,true,Rx,0,8,00,8C,00,5F,03,00,00,47,
30742144,00000522,false,Rx,0,6,01,0C,00,04,7A,3D,00,00,
30747611,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30747789,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30748043,000002FA,false,Rx,0,8,FD,FF,05,FF,FF,FF,FF,FF,
30748246,00000328,false,Rx,0,6,B1,00,00,00,87,1E,00,00,
30748492,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
30748632,000003E8,false,Rx,0,2,F1,FF,00,00,00,00,00,00,
30748875,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
30749100,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
30749344,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
30749589,0000003F,false,Rx,0,8,00,00,00,80,00,80,64,CE,
30749825,000003F9,false,Rx,0,8,C0,F9,80,E0,43,3C,F3,FF,
30750050,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
30750273,00000432,false,Rx,0,8,2C,E2,10,A3,4E,FF,02,FF,
30750529,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
30750775,0000051A,false,Rx,0,8,00,00,00,00,50,00,00,1A,
30750977,00000521,false,Rx,0,6,00,04,00,00,02,6D,00,00,
30751221,00000540,false,Rx,0,8,00,00,00,00,FD,3C,FF,40,
30757638,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30760834,0000039D,false,Rx,0,5,1F,56,01,28,00,00,00,00,
30761084,0000035D,false,Rx,0,8,02,00,88,08,00,00,20,F0,
30767639,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30767827,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30769070,00000521,false,Rx,0,6,00,05,00,00,02,71,00,00,
30775263,00000100,false,Rx,0,8,01,00,00,00,3D,09,75,12,
30775515,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
30777646,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30780153,00000523,false,Rx,0,6,02,0D,00,04,7A,31,00,00,
30780870,000003B4,false,Rx,0,8,00,FF,30,F0,B8,FF,00,00,
30781167,00000524,false,Rx,0,6,03,0D,00,00,00,04,00,00,
30787641,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30787829,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30789197,00000521,false,Rx,0,6,00,06,00,00,02,7F,00,00,
30797652,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30800827,0000039D,false,Rx,0,5,20,57,01,28,00,00,00,00,
30801098,00000272,false,Rx,0,8,5F,F3,71,11,FF,FF,FF,FF,
30802141,00000522,false,Rx,0,6,01,0D,00,04,79,FF,00,00,
30807658,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30807835,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30809140,00000521,false,Rx,0,6,00,07,00,00,02,6F,00,00,
30817655,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30827659,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30827837,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30829143,00000521,false,Rx,0,6,00,08,00,00,02,6F,00,00,
30837659,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30837941,1801D08F,true,Rx,0,8,00,8C,00,5F,03,00,00,47,
30840146,00000523,false,Rx,0,6,02,0E,00,04,7A,0C,00,00,
30840843,0000039D,false,Rx,0,5,21,58,01,28,00,00,00,00,
30841160,00000524,false,Rx,0,6,03,0E,FF,FF,FF,E8,00,00,
30847665,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30847915,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
30848161,0000003F,false,Rx,0,8,00,00,00,C0,00,C0,64,C0,
30848384,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
30848567,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30848800,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
30849056,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
30849280,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
30849483,00000521,false,Rx,0,6,00,09,00,00,02,6D,00,00,
30857677,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30860947,000005BD,false,Rx,0,8,B3,80,00,00,00,00,00,00,
30862133,00000522,false,Rx,0,6,01,0E,00,04,7A,0B,00,00,
30867679,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30867867,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30869129,00000521,false,Rx,0,6,00,0A,00,00,02,65,00,00,
30875258,00000100,false,Rx,0,8,01,00,00,00,3D,09,75,12,
30875510,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
30877682,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30880788,0000039D,false,Rx,0,5,22,59,01,28,00,00,00,00,
30887687,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30887865,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30889127,00000521,false,Rx,0,6,00,0B,00,00,02,64,00,00,
30897696,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30900132,00000523,false,Rx,0,6,02,0F,00,04,7A,3D,00,00,
30901150,00000524,false,Rx,0,6,03,0F,FF,FF,FF,F2,00,00,
30907688,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30907876,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
