Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
133134126,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133138938,00000522,false,Rx,0,6,01,03,00,04,63,5C,00,00,
133142652,0000039D,false,Rx,0,5,23,5A,01,28,00,00,00,00,
133144130,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133144302,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133147942,00000521,false,Rx,0,6,00,0A,00,00,02,DD,00,00,
133148592,00000272,false,Rx,0,8,5E,FD,71,11,FF,FF,FF,FF,
133154135,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133159601,00000100,false,Rx,0,8,01,00,00,00,8E,08,5C,12,
133159852,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
133162286,00000523,false,Rx,0,6,02,04,00,04,63,6F,00,00,
133162500,00000524,false,Rx,0,6,03,04,FF,FF,FF,D3,00,00,
133164128,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133164310,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133168271,00000521,false,Rx,0,6,00,0B,00,00,02,C2,00,00,
133174138,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133182676,0000039D,false,Rx,0,5,24,5B,01,28,00,00,00,00,
133184134,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133184389,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
133184571,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133184816,000002FA,false,Rx,0,8,FD,FF,05,FF,FF,FF,FF,FF,
133185039,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
133185285,000002F1,false,Rx,0,8,36,10,7D,00,00,00,00,A0,
133185530,0000003F,false,Rx,0,8,00,00,00,00,00,00,64,65,
133185785,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
133186008,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
133186245,00000432,false,Rx,0,8,2C,E2,10,A3,40,FF,02,FF,
